frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
0,33,0.9997,0.9998,348,107,20,0
1,66,0.9997,0.9998,349,106,20,0
2,99,0.9997,0.9998,349,106,20,0
3,100,0.9997,0.9998,349,106,20,0
4,133,0.9997,0.9998,350,105,20,0
5,166,0.9997,0.9998,350,105,20,0
6,200,0.9997,0.9998,350,105,20,0
7,233,0.9997,0.9998,349,105,20,0
8,266,0.9997,0.9998,349,104,20,0
9,300,0.9997,0.9997,349,104,20,0
10,333,0.9997,0.9997,348,104,20,0
11,367,0.9997,0.9997,348,104,20,0
12,400,0.9997,0.9997,347,104,20,0
13,433,0.9997,0.9997,346,103,20,0
14,467,0.9995,0.9996,345,103,20,0
15,500,0.9994,0.9995,345,103,20,0
16,533,0.9993,0.9995,344,104,20,0
17,567,0.9992,0.9994,343,104,20,0
18,600,0.9987,0.9991,342,104,20,0
19,633,0.9986,0.999,341,105,20,0
20,667,0.9981,0.9984,340,105,20,0
21,700,0.9971,0.9968,339,105,20,0
22,734,0.9962,0.9957,338,105,20,0
23,767,0.9957,0.9951,336,105,20,0
24,800,0.9954,0.9945,334,104,20,0
25,834,0.9952,0.9934,333,104,20,0
26,867,0.9947,0.9911,331,104,20,0
27,900,0.9949,0.9908,330,104,20,0
28,934,0.995,0.9909,328,104,20,0
29,967,0.9955,0.9917,327,103,20,1
30,1001,0.9959,0.9925,324,103,20,1
31,1034,0.9963,0.9932,322,100,20,1
32,1067,0.9966,0.9938,320,98,20,1
33,1101,0.9969,0.9944,318,98,20,1
34,1134,0.9972,0.9949,316,98,20,1
35,1167,0.9974,0.9954,313,96,20,1
36,1201,0.9977,0.9958,312,95,20,1
37,1234,0.9979,0.9962,311,94,20,1
38,1267,0.9981,0.9966,311,94,20,1
39,1301,0.9983,0.9969,310,94,20,1
40,1334,0.9984,0.9972,308,94,20,1
41,1368,0.9986,0.9975,309,94,20,1
42,1401,0.9987,0.9977,309,94,20,1
43,1434,0.9988,0.9979,309,94,20,1
44,1468,0.9988,0.9978,310,94,20,1
45,1501,0.9987,0.9974,311,95,20,1
46,1534,0.9985,0.9966,313,95,20,1
47,1568,0.9983,0.996,314,97,20,1
48,1601,0.9979,0.9953,317,97,20,1
49,1634,0.9955,0.9923,321,102,20,1
50,1668,0.9934,0.9915,321,104,20,1
51,1701,0.9938,0.9921,323,104,20,1
52,1735,0.9941,0.9928,324,101,20,1
53,1768,0.9946,0.9935,326,99,20,1
54,1801,0.9951,0.9941,332,98,20,0
55,1835,0.9951,0.9947,341,98,20,0
56,1868,0.9953,0.9951,350,97,20,0
57,1901,0.9957,0.9956,359,95,20,0
58,1935,0.9957,0.996,365,89,20,0
59,1968,0.996,0.9964,371,86,20,1
60,2002,0.9963,0.9967,375,81,20,1
61,2035,0.9965,0.997,378,77,20,1
62,2068,0.9967,0.9973,381,73,20,1
63,2102,0.9968,0.9975,381,71,20,1
64,2135,0.9968,0.9978,381,71,20,1
65,2168,0.997,0.998,381,69,20,1
66,2202,0.9971,0.9981,380,68,20,1
67,2235,0.9973,0.9983,380,67,20,1
68,2268,0.9974,0.9985,379,66,20,1
69,2302,0.9976,0.9986,379,66,20,1
70,2335,0.9978,0.9987,378,67,20,1
71,2369,0.9979,0.9989,378,68,20,1
72,2402,0.9979,0.999,377,68,20,1
73,2435,0.9981,0.9991,373,68,20,1
74,2469,0.9968,0.999,371,68,20,1
75,2502,0.9967,0.9991,369,68,20,1
76,2535,0.9968,0.9992,366,69,20,0
77,2569,0.996,0.9991,364,69,20,0
78,2602,0.9941,0.9988,361,69,20,0
79,2635,0.9848,0.9964,359,70,20,0
80,2669,0.9795,0.995,359,70,20,0
81,2702,0.9795,0.9947,358,70,20,0
82,2736,0.9808,0.9949,357,70,20,0
83,2769,0.9826,0.9953,357,69,20,0
84,2802,0.9842,0.9956,357,69,20,0
85,2836,0.9858,0.996,357,69,20,0
86,2869,0.9871,0.9964,357,68,20,0
87,2902,0.9884,0.9967,358,68,20,0
88,2936,0.9895,0.997,357,67,20,0
89,2969,0.9905,0.9973,357,67,20,0
90,3003,0.9914,0.9975,356,68,20,0
91,3036,0.9923,0.9977,355,69,20,0
92,3069,0.993,0.9979,353,69,20,0
93,3103,0.9936,0.998,351,69,20,0
94,3136,0.9942,0.9981,348,69,20,0
95,3169,0.9946,0.9981,346,69,20,0
96,3203,0.995,0.9981,344,70,20,0
97,3236,0.9955,0.9982,341,70,20,0
98,3269,0.9959,0.9983,339,71,20,0
99,3303,0.9963,0.9984,336,72,20,0
100,3336,0.9966,0.9984,333,73,20,0
101,3370,0.997,0.9986,332,74,20,0
102,3403,0.9973,0.9987,331,74,20,0
103,3436,0.9975,0.9988,329,75,20,0
104,3470,0.9978,0.9989,328,76,20,0
105,3503,0.998,0.999,326,77,20,1
106,3536,0.9982,0.9991,325,78,20,1
107,3570,0.9984,0.9991,323,78,20,1
108,3603,0.9985,0.9992,322,78,20,1
109,3636,0.9987,0.9993,320,78,20,1
110,3670,0.9988,0.9993,319,79,20,1
111,3703,0.9989,0.9993,318,79,20,1
112,3737,0.999,0.9994,317,79,20,1
113,3770,0.9991,0.9994,316,79,20,1
114,3803,0.9992,0.9994,316,79,20,1
115,3837,0.9993,0.9995,315,79,20,1
116,3870,0.9993,0.9995,315,80,20,1
117,3903,0.9994,0.9996,314,79,20,1
118,3937,0.9995,0.9996,314,79,20,1
119,3970,0.9995,0.9996,313,79,20,1
