frame,timestamp_ms,left_ear_visibility,right_ear_visibility,center_x,center_y,radius,out_of_reference
0,16,0.991,0.9944,147,134,20,0
1,32,0.991,0.9944,147,137,20,0
2,33,0.9918,0.995,147,137,20,0
3,50,0.9926,0.9954,147,137,20,0
4,66,0.9933,0.9958,148,138,20,0
5,83,0.9936,0.996,147,138,20,0
6,100,0.9941,0.9963,147,139,20,0
7,116,0.9945,0.9965,147,140,20,0
8,133,0.9949,0.9968,148,141,20,0
9,150,0.9954,0.9971,148,142,20,0
10,166,0.9957,0.9973,148,143,20,0
11,183,0.996,0.9975,148,143,20,0
12,200,0.9963,0.9977,148,143,20,0
13,216,0.9966,0.9979,148,144,20,0
14,233,0.9968,0.998,148,144,20,0
15,250,0.9969,0.9981,148,144,20,0
16,266,0.9972,0.9982,148,143,20,0
17,283,0.9973,0.9983,148,144,20,0
18,300,0.9975,0.9985,148,144,20,0
19,316,0.9975,0.9985,148,144,20,0
20,333,0.9977,0.9986,148,144,20,0
21,350,0.9978,0.9986,149,144,20,0
22,366,0.9979,0.9987,149,144,20,0
23,383,0.998,0.9987,149,144,20,0
24,400,0.9981,0.9988,149,144,20,0
25,416,0.9981,0.9988,149,144,20,0
26,433,0.9982,0.9989,149,144,20,0
27,450,0.9982,0.9989,149,144,20,0
28,466,0.9983,0.9989,149,144,20,0
29,483,0.9983,0.9989,149,144,20,0
30,500,0.9983,0.999,149,144,20,0
31,516,0.9983,0.999,149,144,20,0
32,533,0.9983,0.999,149,144,20,0
33,550,0.9983,0.999,149,144,20,0
34,566,0.9984,0.999,149,143,20,0
35,583,0.9984,0.999,149,144,20,0
36,600,0.9984,0.9991,149,144,20,0
37,616,0.9985,0.9991,149,144,20,0
38,633,0.9985,0.9991,149,144,20,0
39,650,0.9986,0.9991,149,144,20,0
40,666,0.9986,0.9991,149,144,20,0
41,683,0.9986,0.9992,149,144,20,0
42,700,0.9986,0.9992,149,143,20,0
43,716,0.9986,0.9992,149,143,20,0
44,733,0.9986,0.9992,149,143,20,0
45,750,0.9985,0.9991,149,143,20,0
46,766,0.9984,0.9991,149,143,20,0
47,783,0.9984,0.9991,149,143,20,0
48,800,0.9984,0.999,149,143,20,0
49,816,0.9984,0.999,149,143,20,0
50,833,0.9983,0.999,149,143,20,0
51,850,0.9983,0.999,149,143,20,0
52,866,0.9983,0.999,149,143,20,0
53,883,0.9982,0.9989,149,143,20,0
54,900,0.9982,0.9989,149,143,20,0
55,916,0.9982,0.9989,149,143,20,0
56,933,0.9981,0.9989,149,143,20,0
57,950,0.9981,0.9989,149,143,20,0
58,966,0.998,0.9988,149,143,20,0
59,983,0.9979,0.9988,149,143,20,0
60,1000,0.9978,0.9987,149,143,20,0
61,1016,0.9978,0.9987,149,142,20,0
62,1033,0.9979,0.9987,149,142,20,0
63,1050,0.9978,0.9987,149,142,20,0
64,1066,0.9979,0.9987,149,142,20,0
65,1083,0.9979,0.9987,149,142,20,0
66,1100,0.9977,0.9986,149,141,20,0
67,1116,0.9976,0.9985,149,141,20,0
68,1133,0.9976,0.9985,149,141,20,0
69,1150,0.9977,0.9985,148,141,20,0
70,1166,0.9977,0.9986,148,141,20,0
71,1183,0.9977,0.9986,148,141,20,0
72,1200,0.9978,0.9986,148,141,20,0
73,1216,0.9978,0.9987,149,141,20,0
74,1233,0.9977,0.9986,149,141,20,0
75,1250,0.9978,0.9986,149,140,20,0
76,1266,0.9978,0.9987,149,140,20,0
77,1283,0.9978,0.9987,149,140,20,0
78,1300,0.9979,0.9987,149,140,20,0
79,1316,0.9978,0.9987,149,140,20,0
80,1333,0.9979,0.9987,149,140,20,0
81,1350,0.9979,0.9987,149,141,20,0
82,1366,0.9979,0.9987,149,141,20,0
83,1383,0.9978,0.9987,149,141,20,0
84,1400,0.9977,0.9986,149,141,20,0
85,1416,0.9977,0.9986,149,142,20,0
86,1433,0.9977,0.9986,149,142,20,0
87,1450,0.9977,0.9986,149,142,20,0
88,1466,0.9976,0.9986,149,142,20,0
89,1483,0.9976,0.9986,149,143,20,0
90,1500,0.9976,0.9985,149,143,20,0
91,1516,0.9975,0.9984,150,143,20,0
92,1533,0.9976,0.9984,150,143,20,0
93,1550,0.9977,0.9985,150,142,20,0
94,1566,0.9978,0.9985,150,142,20,0
95,1583,0.9979,0.9985,150,142,20,0
96,1600,0.998,0.9985,150,142,20,0
97,1616,0.998,0.9985,150,142,20,0
98,1633,0.9981,0.9985,150,142,20,0
99,1650,0.9981,0.9985,150,142,20,0
100,1666,0.9982,0.9985,150,142,20,0
101,1683,0.9982,0.9985,150,142,20,0
102,1700,0.9983,0.9985,150,142,20,0
103,1716,0.9983,0.9985,150,142,20,0
104,1733,0.9983,0.9984,150,142,20,0
105,1750,0.9983,0.9984,150,142,20,0
106,1766,0.9982,0.9983,150,142,20,0
107,1783,0.9982,0.9981,150,143,20,0
108,1800,0.9981,0.9981,150,143,20,0
109,1816,0.998,0.9979,150,143,20,0
110,1833,0.998,0.9978,150,143,20,0
111,1850,0.9979,0.9977,150,143,20,0
112,1866,0.998,0.9977,150,143,20,0
113,1883,0.9979,0.9976,150,143,20,0
114,1900,0.9979,0.9975,150,143,20,0
115,1916,0.9979,0.9975,150,143,20,0
116,1933,0.9979,0.9975,150,143,20,0
117,1950,0.9979,0.9975,150,143,20,0
118,1966,0.9979,0.9976,150,143,20,0
119,1983,0.998,0.9976,150,143,20,0
120,2000,0.998,0.9977,150,143,20,0
121,2016,0.998,0.9977,150,143,20,0
122,2033,0.9981,0.9977,150,143,20,0
123,2050,0.9981,0.9978,150,143,20,0
124,2066,0.9981,0.9978,150,143,20,0
125,2083,0.9981,0.9978,150,143,20,0
126,2100,0.9982,0.9978,150,142,20,0
127,2116,0.9981,0.9977,150,143,20,0
128,2133,0.9981,0.9977,150,143,20,0
129,2150,0.9981,0.9976,150,142,20,0
130,2166,0.9981,0.9976,150,142,20,0
131,2183,0.9981,0.9975,150,142,20,0
132,2200,0.998,0.9972,150,141,20,0
133,2216,0.9979,0.9971,150,140,20,0
134,2233,0.9979,0.997,150,140,20,0
135,2250,0.9979,0.9969,150,140,20,0
136,2266,0.9979,0.9969,150,139,20,0
137,2283,0.9979,0.9968,150,139,20,0
138,2300,0.9979,0.9968,150,139,20,0
139,2316,0.9979,0.9967,151,139,20,0
140,2333,0.9979,0.9968,151,139,20,0
141,2350,0.998,0.9968,151,139,20,0
142,2366,0.998,0.9968,151,139,20,0
143,2383,0.998,0.9968,151,139,20,0
144,2400,0.998,0.9968,151,139,20,0
145,2416,0.9981,0.9968,151,139,20,0
146,2433,0.9981,0.9968,151,139,20,0
147,2450,0.9981,0.9969,151,139,20,0
148,2466,0.9981,0.997,151,139,20,0
149,2483,0.9981,0.9969,151,139,20,0
150,2500,0.9981,0.997,151,139,20,0
151,2516,0.9981,0.9971,151,140,20,0
152,2533,0.9981,0.9971,151,140,20,0
153,2550,0.9981,0.9971,152,140,20,0
154,2566,0.9981,0.9972,152,140,20,0
155,2583,0.9981,0.9972,152,140,20,0
156,2600,0.9982,0.9974,152,140,20,0
157,2616,0.9982,0.9974,152,140,20,0
158,2633,0.9982,0.9975,152,140,20,0
159,2650,0.9982,0.9975,152,140,20,0
160,2666,0.9982,0.9976,152,140,20,0
161,2683,0.9983,0.9977,152,140,20,0
162,2700,0.9983,0.9978,152,141,20,0
163,2716,0.9983,0.9978,152,141,20,0
164,2733,0.9983,0.9979,152,141,20,0
165,2750,0.9983,0.9979,152,141,20,0
